kikar_id,fb_id,fb_link,Content_type,Content_id,alt_content_type,alt_content_id,שם
114,212547315512949,https://www.facebook.com/pages/%D7%A8%D7%95%D7%99%D7%98%D7%9C-%D7%A1%D7%95%D7%99%D7%93-%D7%A2%D7%95%D7%93-Revital-Swid/212547315512949,None,None,candidate,924,רויטל סויד
77,243941715737870,https://www.facebook.com/oritstrook,Member,884,candidate,884,אורית סטרוק
40,154570404606299,https://www.facebook.com/Peretz.Amir,Member,105,candidate,105,עמיר פרץ
50,207139259326193,https://www.facebook.com/gilad.erdan,Member,734,candidate,734,גלעד ארדן
134,307391876051483,https://www.facebook.com/arkadypomeranets,None,None,candidate,951,ארקדי פומרנץ
38,212884635505254,https://www.facebook.com/Shamir.Yair,Member,902,None,None,יאיר שמיר
91,320611771336201,https://www.facebook.com/pages/%D7%A0%D7%A1%D7%99%D7%9D-%D7%96%D7%90%D7%91/320611771336201,Member,206,None,None,נסים זאב
34,318718848205174,https://www.facebook.com/mtzd.yoni.chetboun,Member,898,candidate,898,יוני שטבון
123,433691573359147,https://www.facebook.com/rontzkiavi,None,None,candidate,937,אביחי רונצקי
59,503855396298871,https://www.facebook.com/GermanYeshAtid,Member,868,candidate,868,יעל גרמן
80,143037549058436,https://www.facebook.com/FouadBenEliezer,Member,20,None,None,בנימין (פואד) בן-אליעזר
57,212853068767680,https://www.facebook.com/avishaybraverman,Member,797,None,None,אבישי ברוורמן
69,620206311338749,https://www.facebook.com/pages/Hilik-Bar-%D7%97%D7%99%D7%9C%D7%99%D7%A7-%D7%91%D7%A8/620206311338749,Member,865,candidate,865,חיליק בר
76,408249422571187,https://www.facebook.com/UriUorbach,Member,845,candidate,845,אורי אורבך
45,386001744772337,https://www.facebook.com/MichalBiran,Member,862,candidate,862,מיכל בירן
10,213793465311034,https://www.facebook.com/MichaeliMerav,Member,881,candidate,881,מרב מיכאלי
61,291524437542463,https://www.facebook.com/NachmanShai,Member,818,candidate,818,נחמן שי
60,404314496289809,https://www.facebook.com/itzik.shmuli,Member,901,candidate,901,איציק שמולי
110,621641341315498,https://www.facebook.com/YoavGallant,None,None,candidate,919,יואב גלנט
19,457794627605948,https://www.facebook.com/karine.elharrar,Member,860,candidate,860,קארין אלהרר
9,128211737213526,https://www.facebook.com/ReuvenRivlin,Member,114,None,None,ראובן ריבלין
